"Country_name";"Sub_region";"Region";"Land_area"
"Afghanistan";"Southern Asia";"Central and Southern Asia";652230.0
"Algeria";"Northern Africa";"Northern Africa and Western Asia";2381741.0
"American Samoa";"Polynesia";"Oceania";200.0
"Angola";"Middle Africa";"Sub-Saharan Africa";1246700.0
"Anguilla";"Caribbean";"Latin America and the Caribbean";0.0
"Antigua and Barbuda";"Caribbean";"Latin America and the Caribbean";440.0
"Argentina";"South America";"Latin America and the Caribbean";2736690.0
"Armenia";"Western Asia";"Northern Africa and Western Asia";28470.0
"Aruba";"Caribbean";"Latin America and the Caribbean";180.0
"Australia";"Australia and New Zealand";"Oceania";7690400.0
"Azerbaijan";"Western Asia";"Northern Africa and Western Asia";82658.17
"Bahamas";"Caribbean";"Latin America and the Caribbean";0.0
"Bahrain";"Western Asia";"Northern Africa and Western Asia";780.83
"Bangladesh";"Southern Asia";"Central and Southern Asia";130170.0
"Barbados";"Caribbean";"Latin America and the Caribbean";430.0
"Belize";"Central America";"Latin America and the Caribbean";22810.0
"Benin";"Western Africa";"Sub-Saharan Africa";112760.0
"Bermuda";"Northern America";"Europe and Northern America";54.0
"Bhutan";"Southern Asia";"Central and Southern Asia";38137.5
"Bolivia (Plurinational State of)";"South America";"Latin America and the Caribbean";0.0
"Botswana";"Southern Africa";"Sub-Saharan Africa";566730.0
"Brazil";"South America";"Latin America and the Caribbean";8358140.0
"British Virgin Islands";"Caribbean";"Latin America and the Caribbean";150.0
"Brunei Darussalam";"South-Eastern Asia";"Eastern and South-Eastern Asia";5270.0
"Burkina Faso";"Western Africa";"Sub-Saharan Africa";273600.0
"Burundi";"Eastern Africa";"Sub-Saharan Africa";25680.0
"Cabo Verde";"Western Africa";"Sub-Saharan Africa";4030.0
"Cambodia";"South-Eastern Asia";"Eastern and South-Eastern Asia";176520.0
"Cameroon";"Middle Africa";"Sub-Saharan Africa";472710.0
"Canada";"Northern America";"Europe and Northern America";8965590.0
"Cayman Islands";"Caribbean";"Latin America and the Caribbean";240.0
"Central African Republic";"Middle Africa";"Sub-Saharan Africa";622980.0
"Chad";"Middle Africa";"Sub-Saharan Africa";1259200.0
"Chile";"South America";"Latin America and the Caribbean";743532.0
"China";"Eastern Asia";"Eastern and South-Eastern Asia";9424701.9
"Colombia";"South America";"Latin America and the Caribbean";1109500.0
"Comoros";"Eastern Africa";"Sub-Saharan Africa";1861.0
"Congo";"Middle Africa";"Sub-Saharan Africa";0.0
"Cook Islands";"Polynesia";"Oceania";0.0
"Costa Rica";"Central America";"Latin America and the Caribbean";51060.0
"Côte d'Ivoire";"Western Africa";"Sub-Saharan Africa";0.0
"Cuba";"Caribbean";"Latin America and the Caribbean";103890.0
"Curaçao";"Caribbean";"Latin America and the Caribbean";0.0
"Cyprus";"Western Asia";"Northern Africa and Western Asia";9240.0
"Democratic People's Republic of Korea";"Eastern Asia";"Eastern and South-Eastern Asia";0.0
"Democratic Republic of the Congo";"Middle Africa";"Sub-Saharan Africa";0.0
"Djibouti";"Eastern Africa";"Sub-Saharan Africa";23180.0
"Dominica";"Caribbean";"Latin America and the Caribbean";750.0
"Dominican Republic";"Caribbean";"Latin America and the Caribbean";48310.0
"Ecuador";"South America";"Latin America and the Caribbean";248360.0
"Egypt";"Northern Africa";"Northern Africa and Western Asia";0.0
"El Salvador";"Central America";"Latin America and the Caribbean";20720.0
"Equatorial Guinea";"Middle Africa";"Sub-Saharan Africa";28050.0
"Eritrea";"Eastern Africa";"Sub-Saharan Africa";121083.12
"Eswatini";"Southern Africa";"Sub-Saharan Africa";17200.0
"Ethiopia";"Eastern Africa";"Sub-Saharan Africa";1128559.04
